OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
shape,iterativefit,central,4,0.0,2.5,20.0,10000.0,-15.0,1.1,1.0
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,-15.0,0.0,1.0246459245681763
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.0,0.05,1.0246459245681763
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.05,0.1225,244.76403870878949*(x-0.05)*(x-0.05)*(x-0.05)-69.7730299560275*(x-0.05)*(x-0.05)+6.2574664082347615*(x-0.05)+1.0246459245681763
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.1225,0.1649999999999999,3872.903039250145*(x-0.1225)*(x-0.1225)*(x-0.1225)-246.89756875219663*(x-0.1225)*(x-0.1225)+0.0*(x-0.1225)+1.2048419713974
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.1649999999999999,0.205,-3026.1352658271708*(x-0.16499999999999998)*(x-0.16499999999999998)*(x-0.16499999999999998)+181.56811594963042*(x-0.16499999999999998)*(x-0.16499999999999998)+0.0*(x-0.16499999999999998)+1.0561890602111816
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.205,0.2475,2806.7770323109507*(x-0.20500000000000002)*(x-0.20500000000000002)*(x-0.20500000000000002)-201.48610418027508*(x-0.20500000000000002)*(x-0.20500000000000002)+0.0*(x-0.20500000000000002)+1.1530253887176514
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.2475,0.2925,350.23991888825805*(x-0.2475)*(x-0.2475)*(x-0.2475)-2.340129952863837*(x-0.2475)*(x-0.2475)-1.917095811488421*(x-0.2475)+1.004555106163025
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.2925,0.3375,-55.72792255637121*(x-0.2925)*(x-0.2925)*(x-0.2925)+11.619879133158557*(x-0.2925)*(x-0.2925)+0.0*(x-0.2925)+0.9454626441001892
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.3375,0.3825,-2111.8077737097433*(x-0.3375)*(x-0.3375)*(x-0.3375)+136.42190936587454*(x-0.3375)*(x-0.3375)+0.7072419924543153*(x-0.3375)+0.963914692401886
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.3825,0.43,62.21887469722404*(x-0.3825)*(x-0.3825)*(x-0.3825)-4.560700286550204*(x-0.3825)*(x-0.3825)+0.155981610096339*(x-0.3825)+1.0795564651489258
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.43,0.48,-575.5110968840074*(x-0.43000000000000005)*(x-0.43000000000000005)*(x-0.43000000000000005)+41.72474135649144*(x-0.43000000000000005)*(x-0.43000000000000005)+0.14385909098090527*(x-0.43000000000000005)+1.0833436250686646
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.48,0.53,2569.3607330322197*(x-0.48)*(x-0.48)*(x-0.48)-192.70205497741665*(x-0.48)*(x-0.48)+0.0*(x-0.48)+1.1229095458984375
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.53,0.5800000000000001,-2306.8733215331968*(x-0.53)*(x-0.53)*(x-0.53)+173.01549911498992*(x-0.53)*(x-0.53)+0.0*(x-0.53)+0.9623245000839233
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.5800000000000001,0.63,2.8062725374103445*(x-0.5800000000000001)*(x-0.5800000000000001)*(x-0.5800000000000001)-1.6981406227201303*(x-0.5800000000000001)*(x-0.5800000000000001)+0.0*(x-0.5800000000000001)+1.1065040826797485
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.63,0.6799999999999999,1261.8375683137826*(x-0.63)*(x-0.63)*(x-0.63)-93.15014744111922*(x-0.63)*(x-0.63)-0.1487670182414353*(x-0.63)+1.1026095151901245
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.6799999999999999,0.73,-1199.9473571777312*(x-0.6799999999999999)*(x-0.6799999999999999)*(x-0.6799999999999999)+89.99605178832992*(x-0.6799999999999999)*(x-0.6799999999999999)+0.0*(x-0.6799999999999999)+1.0200254917144775
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.73,0.78,2219.898223876947*(x-0.73)*(x-0.73)*(x-0.73)-166.4923667907712*(x-0.73)*(x-0.73)+0.0*(x-0.73)+1.095022201538086
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.78,0.8300000000000001,-11.215654588093996*(x-0.78)*(x-0.78)*(x-0.78)+3.618667899387605*(x-0.78)*(x-0.78)+0.0*(x-0.78)+0.9562785625457764
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.8300000000000001,0.88,-1100.5291616681768*(x-0.8300000000000001)*(x-0.8300000000000001)*(x-0.8300000000000001)+79.76219331983259*(x-0.8300000000000001)*(x-0.8300000000000001)+0.2777493805280557*(x-0.8300000000000001)+0.9639232754707336
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.88,0.93,3132.2507858276495*(x-0.88)*(x-0.88)*(x-0.88)-234.91880893707338*(x-0.88)*(x-0.88)+0.0*(x-0.88)+1.0396500825881958
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.93,0.9825,314.6056338039309*(x-0.9299999999999999)*(x-0.9299999999999999)*(x-0.9299999999999999)+3.552713678800501e-15*(x-0.9299999999999999)*(x-0.9299999999999999)+0.0*(x-0.9299999999999999)+0.8438844084739685
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.9825,1.1,0.8894088268280029
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,-15.0,0.0,1.085371494293213
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.0,0.05,1.085371494293213
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.05,0.12,31.36455491402406*(x-0.05)*(x-0.05)*(x-0.05)-6.586556531945053*(x-0.05)*(x-0.05)+0.46105895723615375*(x-0.05)+1.085371494293213
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.12,0.16,1344.5131480693824*(x-0.12000000000000001)*(x-0.12000000000000001)*(x-0.12000000000000001)-80.67078888416293*(x-0.12000000000000001)*(x-0.12000000000000001)+0.0*(x-0.12000000000000001)+1.0961295366287231
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.16,0.2,-1462.407410144805*(x-0.16)*(x-0.16)*(x-0.16)+87.74444460868833*(x-0.16)*(x-0.16)+0.0*(x-0.16)+1.053105115890503
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.2,0.245,1778.611757464208*(x-0.2)*(x-0.2)*(x-0.2)-120.056293628834*(x-0.2)*(x-0.2)+0.0*(x-0.2)+1.0999021530151367
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.245,0.2925,-1139.939882818196*(x-0.245)*(x-0.245)*(x-0.245)+81.22071665079645*(x-0.245)*(x-0.245)+0.0*(x-0.245)+1.0188641548156738
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.2925,0.3399999999999999,653.5495747489617*(x-0.2925)*(x-0.2925)*(x-0.2925)-46.56540720086351*(x-0.2925)*(x-0.2925)+0.0*(x-0.2925)+1.079948902130127
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.3399999999999999,0.39,-1494.7166442871055*(x-0.33999999999999997)*(x-0.33999999999999997)*(x-0.33999999999999997)+112.103748321533*(x-0.33999999999999997)*(x-0.33999999999999997)+0.0*(x-0.33999999999999997)+1.0449278354644775
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.39,0.44,170.39008621896687*(x-0.39)*(x-0.39)*(x-0.39)-19.584701301915146*(x-0.39)*(x-0.39)+0.0*(x-0.39)+1.1383476257324219
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.44,0.49,223.05740079701522*(x-0.44)*(x-0.44)*(x-0.44)-15.21990738607742*(x-0.44)*(x-0.44)-0.6805444835492629*(x-0.44)+1.1106846332550049
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.49,0.54,11.520783067943553*(x-0.49)*(x-0.49)*(x-0.49)+2.4547529851320538*(x-0.49)*(x-0.49)-0.5296047161793911*(x-0.49)+1.066489815711975
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.54,0.59,28.004393172512984*(x-0.54)*(x-0.54)*(x-0.54)-0.12309404137238134*(x-0.54)*(x-0.54)-0.19772354465660869*(x-0.54)+1.0475865602493286
